0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.301	0
0.302	0
0.303	0
0.304	0
0.305	0
0.306	0
0.307	0
0.308	0
0.309	0
0.311	0.085
0.3111	0.1075
0.3112	0.135
0.3113	0.185
0.3114	0.1625
0.3115	0.235
0.3116	0.275
0.3117	0.305
0.3118	0.42
0.3119	0.485
0.312	0.5225
0.312	0.51
0.3121	0.56
0.3122	0.645
0.3123	0.6825
0.3124	0.7475
0.3125	0.7925
0.3126	0.8175
0.3127	0.895
0.3128	0.9275
0.3129	0.9275
0.313	0.9575
0.313	0.965
0.3131	0.96
0.3132	1
0.3133	0.975
0.3134	0.985
0.3135	1
0.3136	1
0.3137	1
0.3138	1
0.3139	1
0.314	1
