0.2	0	0.159756
0.205	0	0.163015
0.21	0	0.167016
0.215	0	0.170502
0.22	0	0.174098
0.225	0	0.177922
0.23	0	0.181563
0.235	0	0.184851
0.24	1.73703e-05	0.188101
0.245	5.84474e-05	0.192013
0.25	8.67536e-05	0.195369
0.255	0.000130367	0.198475
0.26	0.000162956	0.202334
0.265	0.000297867	0.205933
0.27	0.000330714	0.208881
0.275	0.000543096	0.212608
0.28	0.000605673	0.216349
0.285	0.00082033	0.219306
0.29	0.000936926	0.222542
0.295	0.00149815	0.226303
0.3	0.00191518	0.229297
0.305	0.00188178	0.232608
0.31	0.00263299	0.23624
0.315	0.00261866	0.239564
0.32	0.0043494	0.243056
0.325	0.00464192	0.246151
0.33	0.00523043	0.249095
0.335	0.00606724	0.252519
0.34	0.00624127	0.255921
0.345	0.00725217	0.258894
0.35	0.00847486	0.262614
0.355	0.00898097	0.265808
0.36	0.0104004	0.268882
0.365	0.0107433	0.271869
0.37	0.0122246	0.274791
0.375	0.0123626	0.278127
0.38	0.0137595	0.281065
0.385	0.0141239	0.28412
0.39	0.0157517	0.28779
0.395	0.0171935	0.290485
0.4	0.0170824	0.29345
0.405	0.0187875	0.296535
0.41	0.0202807	0.299582
0.415	0.0214545	0.303066
0.42	0.022742	0.305982
0.425	0.0241747	0.308567
0.43	0.0234751	0.311222
0.435	0.0263243	0.314291
0.44	0.0275666	0.317688
0.445	0.0295653	0.32097
0.45	0.0325193	0.323913
0.455	0.0323145	0.32655
0.46	0.0334604	0.329204
0.465	0.0353503	0.332442
0.47	0.0361076	0.335186
0.475	0.0390303	0.337891
0.48	0.0404983	0.340971
0.485	0.0426694	0.343815
0.49	0.0440542	0.346738
0.495	0.0461082	0.34973
0.5	0.0469332	0.352603
0.505	0.0488279	0.354972
0.51	0.0498623	0.357927
0.515	0.0518627	0.360562
0.52	0.0558356	0.363542
0.525	0.0572787	0.366268
0.53	0.0576169	0.368714
0.535	0.0603696	0.371903
0.54	0.0639768	0.374621
0.545	0.0645205	0.377346
0.55	0.0670204	0.379526
0.555	0.068576	0.3824
0.56	0.071651	0.385258
0.565	0.0732971	0.388092
0.57	0.0748193	0.390813
0.575	0.0780712	0.393707
0.58	0.0789261	0.395612
0.585	0.0807699	0.398946
0.59	0.0844073	0.401208
0.595	0.0857495	0.403135
0.6	0.0879909	0.406267
0.605	0.0918637	0.40929
0.61	0.0935691	0.411521
0.615	0.0965195	0.414282
0.62	0.0972767	0.41614
0.625	0.0989208	0.418888
0.63	0.102952	0.421632
0.635	0.102682	0.42359
0.64	0.106794	0.426698
0.645	0.107588	0.428793
0.65	0.109494	0.431469
0.655	0.113096	0.433652
0.66	0.116301	0.436997
0.665	0.117294	0.43843
0.67	0.119786	0.441207
0.675	0.121739	0.443375
0.68	0.124632	0.446003
0.685	0.12687	0.448704
0.69	0.128091	0.450832
0.695	0.130156	0.453136
0.7	0.133055	0.455824
0.705	0.134788	0.457691
0.71	0.137209	0.460967
0.715	0.137701	0.462804
0.72	0.142054	0.464952
0.725	0.142925	0.466709
0.73	0.14642	0.469814
0.735	0.147551	0.471999
0.74	0.1507	0.474311
0.745	0.152471	0.476782
0.75	0.153764	0.478284
0.755	0.156724	0.481151
0.76	0.157834	0.482697
0.765	0.160646	0.485485
0.77	0.16297	0.487486
0.775	0.164946	0.489936
0.78	0.16745	0.492074
0.785	0.169986	0.493766
0.79	0.172006	0.496485
0.795	0.175304	0.4991
0.8	0.177347	0.50104
0.81	0.181118	0.504924
0.82	0.185737	0.509355
0.83	0.189833	0.513518
0.84	0.193811	0.517743
0.85	0.198748	0.521858
0.86	0.202592	0.525763
0.87	0.207479	0.530236
0.88	0.211405	0.53452
0.89	0.215595	0.538382
0.9	0.219199	0.542069
0.91	0.223875	0.54634
0.92	0.228389	0.550004
0.93	0.232636	0.554177
0.94	0.236775	0.557971
0.95	0.241169	0.561868
0.96	0.244425	0.565354
0.97	0.248975	0.569312
0.98	0.253453	0.573066
0.99	0.256743	0.576636
